"date1","Reported_PrecipSum","Precip_MaxHourly_inState","Precip_Sum_Calc"
2012-10-06,0.019,0.21,0.0622619047619048
2012-10-07,0.086,0.08,0.0914163165266106
2012-10-08,0,0,0
2012-10-09,0.00333333333333333,0.02,0.00214285714285714
2012-10-10,0.186,0.21,0.158528919719995
2012-10-11,0,0,0
2012-10-12,0.017,0.07,0.0205194805194805
2012-10-13,0,0,0
2012-10-14,0.014,0.04,0.00545787545787546
2012-10-15,0.233,0.62,0.242099848584234
2012-10-16,0.00111111111111111,0.04,0.00822222222222222
2012-10-17,0,0,0
2012-10-18,0,0,0
2012-10-19,0.674,0.3,0.551474466970617
2012-10-20,0.202,1.22,0.245654335210787
2012-10-21,0,0,0
2012-10-22,0,0,0
2012-10-23,0.066,0.07,0.0697002801120448
2012-10-24,0.014,0.03,0.0204303539597657
2012-10-25,0.00375,0.03,0.00176470588235294
2012-10-26,0,0,0
2012-10-27,0,0,0
2012-10-28,0.001,0.01,0.00133333333333333
2012-10-29,0.293,0.83,0.580316514138883
2012-10-30,0.105,0.18,0.153855089355089
2012-10-31,0.00882352941176471,0.03,0.0132930402930403
2012-11-01,0,0,0
2012-11-02,0.00111111111111111,0.01,0.000833333333333333
2012-11-03,0,0,0
2012-11-04,0,0,0
2012-11-05,0,0,0
2012-11-06,0,0,0
2012-11-07,0.135,5.34,0.350080442433384
2012-11-08,0.057,0.3,0.0654446093497818
2012-11-09,0,0,0
2012-11-10,0,0,0
2012-11-11,0,0,0
2012-11-12,0.00222222222222222,0.01,0.000526315789473684
2012-11-13,0.11,0.19,0.115450644460683
2012-11-14,0,0,0
2012-11-15,0,0,0
2012-11-16,0,0,0
2012-11-17,0,0,0
2012-11-18,0,0,0
2012-11-19,0,0,0
2012-11-20,0,0,0
2012-11-21,0,0,0
2012-11-22,0,0,0
2012-11-23,0.018,0.03,0.009265664160401
2012-11-24,0.00555555555555556,0.02,0.00866666666666667
2012-11-25,0,0,0
2012-11-26,0,0,0
2012-11-27,0.156,0.08,0.0458792952833201
2012-11-28,0,0,0
2012-11-29,0,0,0
2012-11-30,0,0,0
2012-12-01,0.000909090909090909,0,0
2012-12-02,0.047,0.09,0.0470604288499025
2012-12-03,0,0,0
2012-12-04,0.024,0.04,0.0263350299056821
2012-12-05,0.005,0.06,0.00882934609250399
2012-12-06,0,0,0
2012-12-07,0.051,0.04,0.0451283068783069
2012-12-08,0.151,0.12,0.11792061530244
2012-12-09,0.09,0.12,0.088989156268568
2012-12-10,0.228,0.27,0.318314263636784
