"date1","Hourly_RelHum_Mean","Temp_Mean","MaxTemp_Mean","AvgRelHum_Mean","Hourly_RelHum_TempMean","Hourly_RelHum_TempMax"
2017-04-13,48.3826366559486,51,61.375,44,24.6751446945338,29.6948432475884
2017-04-14,45.6507936507937,50.5,63.5,41.5,23.0536507936508,28.988253968254
2017-04-15,66.2840236686391,49.75,63.625,63,32.9763017751479,42.1732100591716
2017-04-16,74.2108108108108,66.75,82.625,66.5,49.5357162162162,61.3166824324324
2017-04-17,49.6211180124224,63.375,74,44,31.4473835403727,36.7196273291925
2017-04-18,56.2707692307692,52.125,61.25,53.5,29.3311384615385,34.4658461538462
2017-04-19,75.5435356200528,46.125,51.375,71,34.8444558047493,38.8104914248021
2017-04-20,84.252358490566,55.25,64.375,78.5,46.5494280660377,54.2374557783019
2017-04-21,92.6055226824458,50.5,52.5,93,46.7657889546351,48.617899408284
2017-04-22,83.7645569620253,50.375,54.375,78.5,42.1963955696203,45.5469778481013
2017-04-23,63.1433021806854,52.875,64.5,57.5,33.3870210280374,40.7274299065421
2017-04-24,68.3451327433628,51.5,64.625,64.5,35.1977433628319,44.1680420353982
2017-04-25,88.3658051689861,53.75,57.25,85.5,47.49662027833,50.5894234592445
2017-04-26,92.4530938123752,56.75,62.875,89.5,52.4671307385229,58.1298827345309
2017-04-27,90.8023255813954,60.875,66.125,86,55.2759156976744,60.0430377906977
2017-04-28,82.7539149888143,67.625,79.25,75,55.9623350111857,65.5824776286353
2017-04-29,60.7584097859327,71,83.75,58,43.1384709480122,50.8851681957187
2017-04-30,57.4969325153374,56.75,64.375,58,32.629509202454,37.0136503067485
2017-05-01,85.9261603375527,57.25,67.75,83.5,49.192726793249,58.214973628692
2017-05-02,71.3638497652582,66.5,75.125,61.5,47.4569600938967,53.6120921361502
2017-05-03,44.4380952380952,54.625,64.125,43,24.2743095238095,28.4959285714286
2017-05-04,55.5170278637771,49.75,63,51,27.6197213622291,34.9757275541796
2017-05-05,91.6521739130435,52.25,56.75,91.5,47.8882608695652,52.0126086956522
2017-05-06,85.5883668903803,59.625,66.125,76.5,51.0320637583893,56.595307606264
2017-05-07,73.5804597701149,52.25,59.375,66,38.4457902298851,43.6883979885057
2017-05-08,61.840490797546,47.25,54.75,53.5,29.2196319018405,33.8576687116564
2017-05-09,59.8019169329073,47,55.125,59.5,28.1069009584665,32.9658067092652
2017-05-10,55.0445859872611,50,59.25,50.5,27.5222929936306,32.6139171974522
2017-05-11,62.9201277955272,50.625,61.75,55.5,31.8533146964856,38.853178913738
2017-05-12,72.2690058479532,53.75,62.375,65,38.8445906432748,45.0777923976608
2017-05-13,86.8370535714286,49.375,53.25,82.5,42.8757952008929,46.2407310267857
2017-05-14,75.8215223097113,53.5,64.25,71.5,40.5645144356955,48.7153280839895
2017-05-15,61.122641509434,58.875,66.375,56.5,35.9859551886792,40.5701533018868
2017-05-16,52.7827476038339,63,76.75,50,33.2531309904153,40.5107587859425
2017-05-17,60.5160256410256,69.25,86.375,57,41.9073477564103,52.2707171474359
2017-05-18,56.98753894081,78.5,92,54,44.7352180685358,52.4285358255452
2017-05-19,61.3333333333333,75.5,88.875,58.5,46.3066666666667,54.51
2017-05-20,54.031746031746,59.625,69.375,49,32.2164285714286,37.4845238095238
2017-05-21,60.0674846625767,56,68.25,57,33.6377914110429,40.9960582822086
2017-05-22,87.6806722689076,54.375,57.625,82.5,47.6763655462185,50.525987394958
2017-05-23,76.8563685636856,61.375,70.25,70,47.1705962059621,53.9915989159892
2017-05-24,75.5678233438486,62.375,69.625,69.5,47.1354298107255,52.6140970031546
2017-05-25,91.659229208925,56.625,59,89.5,51.9020385395538,54.0789452332657
2017-05-26,85.9867841409692,59.875,68.25,79,51.4845870044053,58.6859801762115
2017-05-27,74.3383685800604,61.875,69.125,69.5,45.9968655589124,51.3863972809668
2017-05-28,77.0959752321981,62.625,69,73.5,48.2813544891641,53.1962229102167
2017-05-29,86.9,55.75,58.125,83,48.44675,50.510625
2017-05-30,87.9285714285714,57,61.125,83.5,50.1192857142857,53.7463392857143
2017-05-31,92.095818815331,62.875,70.75,88.5,57.9052460801394,65.1577918118467
2017-06-01,73.736040609137,66.875,77.875,63.5,49.3109771573604,57.4219416243655
2017-06-02,51.9753086419753,61.25,72.75,48.5,31.8348765432099,37.812037037037
2017-06-03,56.4790996784566,59.375,72.75,50.5,33.5344654340836,41.0885450160772
2017-06-04,76.5055865921788,59.625,70.5,70.5,45.6164560055866,53.936438547486
2017-06-05,91.3961813842482,59.625,63.75,88.5,54.494973150358,58.2650656324582
2017-06-06,88.6122004357298,53,55.125,85,46.9644662309368,48.8474754901961
2017-06-07,73.2742857142857,60.5,71.125,66,44.3309428571429,52.1163357142857
2017-06-08,72.5877192982456,59.625,72,68.5,43.2804276315789,52.2631578947368
2017-06-09,61.129746835443,63.625,79.25,58.5,38.8938014240506,48.4453243670886
2017-06-10,60.8860759493671,68.75,83.375,58,41.8591772151899,50.7637658227848
2017-06-11,63.5801282051282,75.625,89.375,59.5,48.0824719551282,56.8247395833333
2017-06-12,59.0584415584416,78.125,92,55.5,46.1394074675325,54.3337662337662
2017-06-13,63.2996941896024,79.5,92.75,57,50.323256880734,58.7104663608563
2017-06-14,53.3616352201258,71.875,83.25,48,38.3536753144654,44.4235613207547
2017-06-15,65.2397476340694,64.75,74.5,56,42.2427365930599,48.6036119873817
2017-06-16,88.8794466403162,65.125,69.5,84.5,57.8827396245059,61.7712154150198
2017-06-17,93.1606425702811,68.375,73.375,89.5,63.6985893574297,68.3566214859438
2017-06-18,89.9466950959488,74.625,81.75,83,67.1227212153518,73.5314232409382
2017-06-19,88.1108829568789,76,82.5,84,66.9642710472279,72.6914784394251
2017-06-20,76.1163366336634,74,83.5,63.5,56.3260891089109,63.5571410891089
2017-06-21,65.9649681528662,72.125,83,60.5,47.5772332802548,54.750923566879
2017-06-22,62.970297029703,70,82.875,57.5,44.0792079207921,52.1866336633663
2017-06-23,82.1268436578171,77.1428571428571,86,77,63.3549936788875,70.6290855457227
2017-06-24,71.7138964577657,77,86.25,64.5,55.2197002724796,61.8532356948229
2017-06-25,65.2750809061489,71.875,82.5,61.5,46.9164644012945,53.8519417475728
2017-06-26,62.2475570032573,67.75,78.625,58.5,42.1727198697068,48.9421416938111
2017-06-27,74.4083769633508,65.625,75.375,72,48.830497382199,56.0853141361257
2017-06-28,66.4792243767313,65.375,78.125,56,43.4607929362881,51.9368940443213
2017-06-29,69.6910828025478,70,78.875,66.5,48.7837579617834,54.9688415605096
2017-06-30,78.6220472440945,76.375,84.5,75,60.0475885826772,66.4356299212598
2017-07-01,87.0728155339806,75.375,81.75,82.5,65.6311347087379,71.1820266990291
2017-07-02,72.4313725490196,79,87.625,65,57.2207843137255,63.4679901960784
2017-07-03,64.8302469135803,76.25,86.625,61.5,49.4330632716049,56.1592013888889
2017-07-04,57.6112852664577,73.25,83.875,53.5,42.2002664576803,48.3214655172414
2017-07-05,60.9554140127389,72.5,83.875,58.5,44.1926751592357,51.1263535031847
2017-07-06,75.2666666666667,69.625,77.25,69.5,52.4044166666667,58.1435
2017-07-07,89.0282258064516,70.25,74.75,87,62.5423286290323,66.5485987903226
2017-07-08,80.9254143646409,75.375,85.125,76.5,60.9975310773481,68.8877589779006
2017-07-09,61.7993827160494,71.375,81.125,55,44.1093094135802,50.1347492283951
2017-07-10,69.0314465408805,72.5,84.25,62.5,50.0477987421384,58.1589937106918
2017-07-11,84.9823399558499,77.5,84.875,79,65.8613134657837,72.1287610375276
2017-07-12,84.8171296296296,79.125,87.875,81,67.1115538194444,74.533052662037
2017-07-13,86.1153039832285,75.5,89.125,83.5,65.0170545073375,76.7502646750524
2017-07-14,92.7066666666667,63.125,65.75,92.5,58.5210833333333,60.9546333333333
2017-07-15,83.5049504950495,72.75,81.25,77.5,60.7498514851485,67.8477722772277
2017-07-16,72.685628742515,74.375,85,66,54.0599363772455,61.7827844311377
2017-07-17,81.4729344729345,74.375,83.625,77,60.595495014245,68.1317414529914
2017-07-18,83.5011441647597,79.125,86.5,78.5,66.0702803203661,72.2284897025172
2017-07-19,77.6032171581769,80.875,90.5,67.5,62.7616018766756,70.2309115281501
2017-07-20,71.3048780487805,80,91.125,67,57.0439024390244,64.9765701219512
2017-07-21,69.5333333333333,79.625,89.125,66,55.3659166666667,61.9715833333333
2017-07-22,67.3550488599349,76.375,84.875,66.5,51.4424185667752,57.1675977198697
2017-07-23,67.4643962848297,74.875,80.875,64,50.5139667182663,54.561830495356
2017-07-24,85.8311403508772,63.625,68.625,86,54.6100630482456,58.9016200657895
2017-07-25,80.7838541666667,63.375,68.5,79,51.196767578125,55.3369401041667
2017-07-26,73.0689655172414,66.625,78,67,48.6821982758621,56.9937931034483
2017-07-27,82.8379888268156,67.75,74.625,81,56.1227374301676,61.8178491620112
2017-07-28,81,74.25,83.125,70.5,60.1425,67.33125
2017-07-29,59.9310344827586,67,76.5,58,40.1537931034483,45.8472413793103
2017-07-30,61.370253164557,67.75,81.5,58,41.5783465189873,50.0167563291139
2017-07-31,68.5833333333333,70.5,84.625,62,48.35125,58.0386458333333
2017-08-01,71.6958041958042,75.375,87.375,66.5,54.0407124125874,62.6442089160839
2017-08-02,86.4638403990025,75.2222222222222,85.1111111111111,82.5,65.0400221668052,73.5903352729288
2017-08-03,85.6742424242424,74.3333333333333,84,78,63.6845202020202,71.9663636363636
2017-08-04,82.3821138211382,77.25,84.375,76,63.6401829268293,69.5099085365854
2017-08-05,84.1368653421634,72.3333333333333,79.7777777777778,75.5,60.8589992641648,67.1225214618592
2017-08-06,61.7014925373134,68.125,77,56.5,42.0341417910448,47.5101492537313
2017-08-07,87.6406685236769,63.8888888888889,69.8888888888889,83.5,55.9926493345713,61.251089445992
2017-08-08,80.853591160221,69.7777777777778,78.2222222222222,73.5,56.417839165132,63.2454757519951
2017-08-09,69.8398791540785,69.1111111111111,82,62.5,48.267116482041,57.2687009063444
2017-08-10,74.1567944250871,71.7777777777778,83.5555555555556,68,53.2280991095625,61.9621215640728
2017-08-11,73.9248366013072,71.5555555555556,81,66.5,52.897327523602,59.8791176470588
